Nom de la fête ou manifestation;Catégorie de la fête ou manifestation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de la fête ou manifestation;Bureau distributeur de l'adresse postale;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'accès/Nom/distance en km;N° de téléphone fixe;N° de téléphone mobile;N° de fax;localisation;departement
EXPOSITION MAISON DES ARTS : STÉPHANIE JOSSO;Exposition;;;Place Olivier Guichard;;44410;ASSERAC;;;44006;47.42931;-2.39061;;02 40 01 70 00;;;47.42931,-2.39061;Loire-Atlantique
EXPOSITION PEINTURE;Exposition;;;Salle polyvalente;;44530;SEVERAC;;;44196;47.55059;-2.07996;;02 40 01 40 10;;;47.55059,-2.07996;Loire-Atlantique
EXPOSITION À LA GALERIE L'AQUARELLE;Exposition;;;;3, place de l'Eglise;49220;GREZ-NEUVILLE;;;49155;47.602715;-0.6876694;;;;;47.602715,-0.6876694;Maine-et-Loire
EXPOSITION:  DES ATELIERS  STAGES DESSIN ET TERRE;Exposition;;;Maison des Arts;Près des Halles;44210;PORNIC;;;44131;47.11524;-2.10541;;06 74 62 26 19;;;47.11524,-2.10541;Loire-Atlantique
FABRIQUONS NOS DÉCORATIONS DE NOËL;Stages-Atelier-Jeux;Centre Maurice Loiseau;;;;72400;LA FERTE-BERNARD;;;72132;48.1835794;0.64794718;;06 77 76 92 84;;;48.1835794,0.64794718;Sarthe
FERME OUVERTE À LA CHAMPENIÈRE;Visites et sorties à thèmes;;;;Lieu-dit La Champenière - DRAIN;49530;OREE D'ANJOU;;;49069;47.32794;-1.23196;;;;;47.32794,-1.23196;Maine-et-Loire
FEST NOZ DE L'ETE;Concert;;;Esplanade de la Ria;;44210;PORNIC;;;44131;47.1148;-2.09751;;02 44 06 54 21;06 37 64 65 49;;47.1148,-2.09751;Loire-Atlantique
FESTI'ROCK;Festival;;;Place de la République;;72600;MAMERS;;;72180;48.3507032;0.3694522;;02 43 97 60 63;;;48.3507032,0.3694522;Sarthe
FESTIVAL  LES RENDEZ-VOUS  DE ST LYPHARD;Festival;autour du centre Culturel Athéna;Place Général de Gaulle;;;72400;LA FERTE-BERNARD;;;72132;48.1827798;0.64955671;;02 43 71 46 46;;;48.1827798,0.64955671;Sarthe
FESTIVAL AMERICAINES IN GOULAINE AU CHATEAU DE GOULAINE;Festival;;;Allée du Château;;44115;HAUTE-GOULAINE;;;44071;47.20433;-1.40275;;;;;47.20433,-1.40275;Loire-Atlantique
