id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm;localisation;libelle_region;code_region
44109-C-027;;Parking Bellamy;Impasse de la Courtine;NANTES;44109;Parking;2019-08-29;true;224400028;-1.557693699;47.22236042;;;;;;;;47.22236042,-1.557693699;Pays de la Loire;52
44109-C-034;;Parking Commerce;Place du Commerce;NANTES;44109;Parking;2019-08-29;true;224400028;-1.557713226;47.21312029;;;;;;;;47.21312029,-1.557713226;Pays de la Loire;52
44109-C-037;;Parking Gloriette 2;Rue Albert de Mun;NANTES;44109;Parking;2019-08-29;true;224400028;-1.560284375;47.21027369;;;;;;;;47.21027369,-1.560284375;Pays de la Loire;52
44110-C-002;;Intermarché;Rue de Bretagne. 44390 Nort-sur-Erdre;NORT SUR ERDRE;44110;Supermarché;2019-08-29;true;224400028;-1.480461;47.439648;;;;;;;;47.439648,-1.480461;Pays de la Loire;52
44114-C-003;;P+R Tramway Orvault Morliére;Avenue de la Morliére;ORVAULT;44114;Parking relais;2019-08-29;true;224400028;-1.603049473;47.24677665;;;;;;;;47.24677665,-1.603049473;Pays de la Loire;52
44130-C-001;;Stade;62 Rue de Nantes. 44860 Pont-Saint-Martin;PONT ST MARTIN;44130;Parking;2019-08-29;true;224400028;-1.5802106;47.1276845;;;;;;;;47.1276845,-1.5802106;Pays de la Loire;52
44149-C-001;;Mairie de Saffré;1 Cour du Séquoia. 44390 Saffré;SAFFRE;44149;Parking;2019-08-29;true;224400028;-1.579864;47.501141;;;;;;;;47.501141,-1.579864;Pays de la Loire;52
44170-C-001;;Mairie de Saint Julien de Vouvante;55B Rue de la Libération. 44670 Saint-Julien-de-Vouvantes;ST JULIEN DE VOUVANTES;44170;Parking;2019-08-29;true;224400028;-1.241927;47.642131;;;;;;;;47.642131,-1.241927;Pays de la Loire;52
44179-C-001;;Intermarché;70 Rue du 3 Aoét 1944. 44850 Saint-Mars-du-Désert;ST MARS DU DESERT;44179;Supermarché;2019-08-29;true;224400028;-1.408911;47.360048;;;;;;;;47.360048,-1.408911;Pays de la Loire;52
44190-C-001;;Aire de covoiturage Pas Enchantés;Boulevard des Pas Enchantés;ST SEBASTIEN SUR LOIRE;44190;Aire de covoiturage;2019-08-29;true;224400028;-1.503941065;47.21038894;;;;;;;;47.21038894,-1.503941065;Pays de la Loire;52
44196-C-001;;Aire de covoiturage de Sévérac;7 La Normandais. 44530 Sévérac;SEVERAC;44196;Aire de covoiturage;2019-08-29;true;224400028;-2.0544648;47.5570961;;;;;;;;47.5570961,-2.0544648;Pays de la Loire;52
44216-C-001;;Complexe Sportif;3 Les Jarilles. 44650 Touvois;VIEILLEVIGNE;44216;Parking;2019-08-29;true;224400028;-1.647949;46.901492;;;;;;;;46.901492,-1.647949;Pays de la Loire;52
44221-C-001;;Parking du Canal;41 Rue du Pont. 44810 La Chevallerais;LA CHEVALLERAIS;44221;Parking;2019-08-29;true;224400028;-1.6783762;47.465918;;;;;;;;47.465918,-1.6783762;Pays de la Loire;52
49099-C-001;;Aire de covoiturage de Dénia;Giratoire échangeur D160-N249 (Cholet Ouest);CHOLET;49099;Aire de covoiturage;2019-08-29;true;224900019;-0.905585;47.035609;;;;;;;;47.035609,-0.905585;Pays de la Loire;52
49176-C-003;;Aire de covoiturage de La Roche Aux Fées;giratoire Nord Déviation Le Lion (D775-N162);LE LION D ANGERS;49176;Aire de covoiturage;2019-08-29;true;224900019;-0.723422;47.636605;;;;;;;;47.636605,-0.723422;Pays de la Loire;52
49301-C-004;;Aire de covoiturage de La Colonne;Giratoire de La Colonne D753-D949 (Torfou);SEVREMOINE;49301;Aire de covoiturage;2019-08-29;true;224900019;-1.092211;47.031741;;;;;;;;47.031741,-1.092211;Pays de la Loire;52
49307-C-002;;Aire de covoiturage de La Perriére - Lavage U;Parking derriére station de lavage Super U de Brain-s--l'Authion;LOIRE AUTHION;49307;Aire de covoiturage;2019-08-29;true;224900019;-0.407867;47.463012;;;;;;;;47.463012,-0.407867;Pays de la Loire;52
53129-C-001;;Aire de covoiturage Launay Villiers;7-1 Place de l'église;LAUNAY VILLIERS;53129;Parking;2022-01-24;true;200083392;-1.00601435;48.13479832;14;;;;Commune;false;;48.13479832,-1.00601435;Pays de la Loire;52
53130-C-001;;Parking Relais La Jaunaie;Avenue de l'Atlantique;LAVAL;53130;Parking relais;2022-01-24;true;200083392;-0.79010486;48.05495254;46;;;;Laval Agglomération;true;;48.05495254,-0.79010486;Pays de la Loire;52
53137-C-002;;Aire de covoiturage -Stade - Ruillé le Gravelais;D252;LOIRON RUILLE;53137;Aire de covoiturage;2022-01-24;true;200083392;-0.94679939;48.05763595;68;;;;Departement 53;false;;48.05763595,-0.94679939;Pays de la Loire;52
53137-C-003;;Aire de covoiturage Loiron La Chapelle du Chéne;La Chapelle du Chéne;LOIRON RUILLE;53137;Parking;2022-01-24;true;200083392;-0.93012044;48.07031299;5;;;;Departement 53;false;;48.07031299,-0.93012044;Pays de la Loire;52
53162-C-001;;Aire de covoiturage Moulay;Moulay;MOULAY;53162;Aire de covoiturage;2019-08-29;true;225300011;-0.63067356;48.26495853;;;;;;;;48.26495853,-0.63067356;Pays de la Loire;52
53251-C-001;;Aire de covoiturage Saint Quentin les Anges;Le Bourg;ST QUENTIN LES ANGES;53251;Aire de covoiturage;2019-08-29;true;225300011;-0.885789;47.772244;;;;;;;;47.772244,-0.885789;Pays de la Loire;52
85017-C-002;;Parking du Stade;19 Rue de la Galissonniére. 85500 Beaurepaire;BEAUREPAIRE;85017;Aire de covoiturage;2019-08-29;true;228500013;-1.0967;46.9094;15;;;;;;;46.9094,-1.0967;Pays de la Loire;52
85034-C-002;;Parking du Rond Point de Sainte Hermine;D948. 85480 Bournezeau;BOURNEZEAU;85034;Parking;2019-08-29;true;228500013;-1.163;46.6276;60;;;;;;;46.6276,-1.163;Pays de la Loire;52
85046-C-001;;Parking du Cimetiére;1B Rue des Fréres Payraudeau. 85310 La Chaize-le-Vicomte;LA CHAIZE LE VICOMTE;85046;Parking;2019-08-29;true;228500013;-1.2985;46.6729;14;;;;;;;46.6729,-1.2985;Pays de la Loire;52
85052-C-004;;Parking Za des Achards-Nord (La Mothe-Achard);3 Rue de la Camamine. 85150 La Mothe-Achard;LA CHAPELLE ACHARD;85052;Parking;2019-08-29;true;228500013;-1.66;46.6035;0;;;;;;;46.6035,-1.66;Pays de la Loire;52
85089-C-002;;Place de La Paix;6 Rue du Bout de ville. 85280 La Ferriére;LA FERRIERE;85089;Aire de covoiturage;2019-08-29;true;228500013;-1.313;46.7137;20;;;;;;;46.7137,-1.313;Pays de la Loire;52
85116-C-001;;Aire de covoiturage de La Cigogne;6 Impasse des Lauriers. 85540 La Jonchére;LA JONCHERE;85116;Aire de covoiturage;2019-08-29;true;228500013;-1.3957;46.4257;10;;;;;;;46.4257,-1.3957;Pays de la Loire;52
85159-C-001;;Place Clemenceau;20 Rue Victor Hugo. 85370 Nalliers;NALLIERS;85159;Aire de covoiturage;2019-08-29;true;228500013;-1.0245;46.4709;5;;;;;;;46.4709,-1.0245;Pays de la Loire;52
85163-C-001;;Aire de covoiturage de L'Etier du Moulin;24 D948. 85330 Noirmoutier-en-l'éle;NOIRMOUTIER EN L ILE;85163;Aire de covoiturage;2019-08-29;true;228500013;-2.248;46.9993;24;;;;;;;46.9993,-2.248;Pays de la Loire;52
